tag_code,date,city_location,state_province,zip_pc,country,first_name,notes
AGCR063,2022-09-16T00:00:00Z,Bolivar,OH,,USA,Paula,In our garden on our beautiful zinnias . Another monarch came by but it wasn’t tagged.
AGCS378,2022-08-19T00:00:00Z,Erie,PA,,USA,Colleen,On a Mexican Sunflower bloom in my yard
AGCS395,2022-09-09T00:00:00Z,Fairview Park,OH,,USA,Patricia,In our backyard on Zinnia flowers
AGCT730,2022-08-29T00:00:00Z,Swannanoa,NC,,USA,Karl,It was juicing up on our Tithonia. Happily hanging out in the garden.
AGCT993,2022-09-09T00:00:00Z,Erie,PA,,USA,Jerry,Nectaring on Buddleia in my backyard
AGCX167,2022-08-19T00:00:00Z,Erie,PA,,USA,Kim,On my hydrangea bush
AGCX806,2022-09-28T00:00:00Z,Luthersburg,PA,,USA,Lauren,I found it laying on my grandma’s driveway. It is sadly deceased.
AGCY743,2022-09-05T00:00:00Z,Wyomissing,PA,,USA,Jan,"It was fluttering around our anise hyssop, landing and feeding. It then landed on nearby strawflowers."
AGCZ402,2022-09-18T00:00:00Z,Harrisburg,PA,,USA,Chris,Enjoying a hydrangea bloom at the nature preserve in Wildwood Park
AGEA778,2022-11-08T00:00:00Z,Missouri city,TX,,USA,Karen,Found eating on my milkweed flowers
AGEC132,2022-10-06T00:00:00Z,Nazareth,PA,,USA,Patricia,The flowers by my front porch
AGEC492,2022-09-09T00:00:00Z,Nazareth,PA,,USA,Jeff,Jacobsburg State Park - Homestead Trail near large power line cut
AGEG510,2022-08-30T00:00:00Z,Chesapeake City,MD,,USA,Vicki,Feeding on Mexican sunflower
AGEH378,2022-08-21T00:00:00Z,Mohnton,PA,,USA,Cyndie,It’s on our butterfly bush by our side porch
AGEH402,2022-09-27T00:00:00Z,CHRISTIANA,PA,,USA,Bill,butterfly bush in residential yard
AGEJ011,2022-09-21T00:00:00Z,Delaware,OH,,USA,Abby,Backyard on Asters
AGEJ696,2022-09-05T00:00:00Z,Worthington,OH,,USA,Jana,"Flying around my house from flower to flower, mainly zinnias."
AGEJ707,2022-09-16T00:00:00Z,Westerville,OH,,USA,Catherine,Found at Blendon Woods Metropark
AGEM107,2022-09-18T00:00:00Z,Toledo,OH,,USA,Cindy,Feeding on my flowers
AGEM161,2022-10-12T00:00:00Z,Maumee,OH,,USA,Jake,Found with wound on abdomen
AGEM748,2022-10-16T00:00:00Z,Texas City,TX,,USA,Amanda,NA
AGEP187,2022-09-03T00:00:00Z,North Ridgeville,OH,,USA,NA,This butterfly and other butterflies frequent my neighbor’s butterfly bush in his front yard.
